TrialNumber,PayOffFunction,Radius,Noise,IKINumber,MeanDeviation,MaxDeviation,MeanNrDigits,MaxNrDigits,MeanTimeTypingWindow,MaxTimeTypingWindow,MeanTrackingTime,MaxTrackingTime,TrackingWindowVisitCounter
107,Speed,80,3,0.308553684,31.83689904,76.66,5,6,2.07905,2.8536,1.331466667,1.652,3
108,Speed,80,3,0.308553684,16.51833333,44.27,6.666666667,9,2.111166667,2.3783,1.0012,1.0343,2
109,Speed,80,3,0.308553684,26.66119355,69.16,6.666666667,8,2.060633333,2.4747,1.3429,1.378,2
110,Speed,80,3,0.308553684,36.79918831,71.33,10,11,3.28685,3.3149,1.5826,1.5826,1
111,Speed,80,3,0.308553684,15.09685096,37.37,5,7,2.154425,3.6314,0.989533333,1.1029,3
112,Speed,80,3,0.308553684,27.75648101,66.45,5,9,1.9347,3.3108,1.3771,1.5838,3
113,Speed,80,3,0.308553684,27.95307888,69.58,5,10,1.928625,4.0674,1.331166667,1.4453,3
114,Speed,80,3,0.308553684,14.23290909,45.58,5,7,1.62835,2.4539,1.011166667,1.1714,3
115,Speed,80,3,0.308553684,29.03123188,70.15,10,11,2.93675,2.9834,1.3081,1.3081,1
116,Speed,80,3,0.308553684,30.585,63.01,6.666666667,9,2.1936,2.6,1.17225,1.2398,2
117,Speed,80,3,0.308553684,20.85303754,42.05,6.666666667,7,2.028233333,2.2794,0.89785,1.0348,2
118,Speed,80,3,0.308553684,30.9627037,76.32,10,11,2.86325,3.1367,1.3092,1.3092,1
119,Speed,80,3,0.308553684,31.43309804,73.51,10,12,2.76335,3.3752,0.8299,0.8299,1
120,Speed,80,3,0.308553684,20.30364548,53.54,10,12,3.26135,3.8375,1.1022,1.1022,1
121,Speed,80,3,0.308553684,20.37582192,51.72,6.666666667,7,1.985833333,2.1847,0.99975,1.0345,2
122,Speed,80,3,0.308553684,34.95007042,78.24,6.666666667,8,1.869933333,2.1084,1.24065,1.4466,2
123,Speed,80,3,0.308553684,14.65613559,40.7,6.666666667,8,2.0366,2.8141,0.89725,0.9648,2
124,Speed,80,3,0.308553684,27.92028169,53.51,10,12,3.05195,3.4428,1.1716,1.1716,1
125,Speed,80,3,0.308553684,23.27090411,62.78,6.666666667,9,2.521166667,3.2663,1.2753,1.309,2
126,Speed,80,3,0.308553684,26.38741742,66.79,10,12,3.589,3.712,1.5824,1.5824,1
17,Speed,120,5,0.308553684,35.35212245,82.4,4,7,1.75954,2.78,2.028425,2.6315,4
18,Speed,120,5,0.308553684,48.63179104,123.94,5,7,2.09435,2.7786,1.244766667,2.0452,3
19,Speed,120,5,0.308553684,44.77348584,141.65,4,6,1.66474,2.1525,1.810675,2.4103,4
20,Speed,120,5,0.308553684,28.63831897,68.2,3.333333333,4,1.31695,1.7192,1.74058,2.7774,5
21,Speed,120,5,0.308553684,35.70838617,93.18,5,9,1.63495,2.3378,1.4396,1.68,3
22,Speed,120,5,0.308553684,64.33812698,133.84,6.666666667,11,2.164266667,3.1458,1.3565,1.9751,2
23,Speed,120,5,0.308553684,51.12616915,125.14,5,9,1.704325,3.0861,2.506466667,2.7734,3
24,Speed,120,5,0.308553684,29.435,96.01,4,6,1.46382,2.4004,1.3984,1.8281,4
25,Speed,120,5,0.308553684,45.19767908,129.99,5,7,1.641225,2.0761,1.4865,2.4091,3
26,Speed,120,5,0.308553684,24.1360559,63.38,5,11,1.648025,3.2689,0.759466667,1.4631,3
27,Speed,120,5,0.308553684,36.4647929,89.87,6.666666667,11,2.501633333,3.8333,0.9533,1.3898,2
28,Speed,120,5,0.308553684,39.27426768,101.61,5,8,1.9674,3.1822,1.318366667,1.757,3
29,Speed,120,5,0.308553684,58.12298667,141.79,5,9,1.741075,2.6293,1.732166667,2.3417,3
30,Speed,120,5,0.308553684,37.17700748,97.01,4,6,1.31946,2.1265,2.057725,2.7007,4
31,Speed,120,5,0.308553684,20.61901274,52.7,6.666666667,13,2.163166667,3.9488,1.02655,1.4633,2
32,Speed,120,5,0.308553684,53.64656151,128.56,6.666666667,13,2.079566667,3.2433,1.57445,1.9028,2
33,Speed,120,5,0.308553684,51.2,150.85,6.666666667,7,2.2616,2.4745,1.61155,2.1215,2
34,Speed,120,5,0.308553684,32.79362776,82.21,6.666666667,12,2.1028,3.547,1.57415,1.611,2
35,Speed,120,5,0.308553684,41.72636156,89.23,6.666666667,9,3.106933333,4.2659,1.35705,1.4675,2
36,Speed,120,5,0.308553684,37.45596154,92.13,6.666666667,12,2.603,4.5473,0.9918,1.0283,2
47,Speed,80,5,0.308553684,46.51957143,119,5,9,1.655075,2.7607,1.533433333,1.7883,3
48,Speed,80,5,0.308553684,30.25523148,118.35,2.857142857,5,1.166966667,1.9215,-0.616316667,2.1983,5
49,Speed,80,5,0.308553684,27.07642667,91.42,3.333333333,7,1.109216667,2.0044,1.08852,1.3763,5
50,Speed,80,5,0.308553684,18.93698113,59.16,4,6,1.38398,1.8511,1.1549,1.582,4
51,Speed,80,5,0.308553684,36.03432258,108.21,4,6,1.7708,2.405,1.3769,1.5814,4
52,Speed,80,5,0.308553684,28.62122,96.93,2.857142857,6,1.132771429,2.05,1.742616667,2.4035,6
53,Speed,80,5,0.308553684,30.55283753,99.16,3.333333333,4,1.2542,1.5702,1.47296,1.855,5
54,Speed,80,5,0.308553684,22.09859079,70.6,4,6,1.30414,1.9942,1.461425,1.8521,4
55,Speed,80,5,0.308553684,33.77066986,77.93,3.333333333,5,1.2339,1.7728,1.2673,1.3785,5
56,Speed,80,5,0.308553684,29.65987342,89.73,2.857142857,5,1.136414286,1.6404,1.4229,1.6509,6
57,Speed,80,5,0.308553684,28.34131367,93.29,3.333333333,5,1,1.5728,1.43108,1.7881,5
58,Speed,80,5,0.308553684,26.97818697,82.46,4,6,1.2454,1.3246,1.29235,1.5828,4
59,Speed,80,5,0.308553684,34.01541463,95.96,3.333333333,6,1.150916667,1.8556,1.43206,1.8569,5
60,Speed,80,5,0.308553684,39.40664269,106.39,2.857142857,6,0.958357143,1.7022,1.4343,1.9238,6
61,Speed,80,5,0.308553684,29.27591346,89.19,3.333333333,5,1.17635,1.623,1.40386,1.7879,5
62,Speed,80,5,0.308553684,32.83008475,80.88,2.857142857,5,1.1044,1.6966,1.547483333,2.6082,6
63,Speed,80,5,0.308553684,34.54858974,101.03,2.5,5,1.09925,1.7164,1.572728571,2.0605,7
64,Speed,80,5,0.308553684,23.68554702,101.5,2.5,3,1.0898625,1.5966,1.346957143,2.0594,7
65,Speed,80,5,0.308553684,33.66191038,89.5,3.333333333,6,1.28375,1.9684,1.18594,1.4461,5
66,Speed,80,5,0.308553684,36.18349301,100.02,2.857142857,4,1.180342857,1.8975,1.5713,2.6786,6
77,Speed,120,3,0.308553684,38.94838816,95.38,10,11,3.1282,3.6244,2.264,2.264,1
78,Speed,120,3,0.308553684,25.61679577,58.27,10,10,3.0778,3.4984,1.1013,1.1013,1
79,Speed,120,3,0.308553684,23.89654545,43.4,10,12,3.02645,3.1654,0.8079,0.8079,1
80,Speed,120,3,0.308553684,41.65507092,92.59,10,12,3.0129,3.7768,1.3931,1.3931,1
81,Speed,120,3,0.308553684,22.78650456,42.28,10,11,3.72825,3.8695,0.5173,0.5173,1
82,Speed,120,3,0.308553684,21.43886544,52.57,10,13,4.2538,6.5112,1.1025,1.1025,1
83,Speed,120,3,0.308553684,57.91561129,121.64,10,11,3.33965,3.438,2.1908,2.1908,1
84,Speed,120,3,0.308553684,28.28966997,81.64,10,11,3.4185,3.8212,1.5385,1.5385,1
85,Speed,120,3,0.308553684,23.14744118,45.94,10,11,3.716,3.717,1.467,1.467,1
86,Speed,120,3,0.308553684,20.05379822,44.96,6.666666667,7,2.262566667,2.4098,1.51235,1.5618,2
87,Speed,120,3,0.308553684,25.49431298,52.04,10,11,2.827,2.9372,1.0267,1.0267,1
88,Speed,120,3,0.308553684,26.9128254,60.76,10,11,3.4641,3.5619,1.1726,1.1726,1
89,Speed,120,3,0.308553684,28.46013986,66.87,10,11,3.0267,3.4113,1.6103,1.6103,1
90,Speed,120,3,0.308553684,24.5920202,54.16,10,13,3.26425,3.7439,1.0291,1.0291,1
91,Speed,120,3,0.308553684,24.10480712,54.36,6.666666667,12,2.395233333,4.1629,0.88185,1.1745,2
92,Speed,120,3,0.308553684,32.12111888,66.73,10,12,3.1507,3.4392,0.8803,0.8803,1
93,Speed,120,3,0.308553684,34.75315287,74.34,10,11,3.39335,4.3084,1.3204,1.3204,1
94,Speed,120,3,0.308553684,30.97586751,71.78,10,12,3.5507,4.4381,0.8112,0.8112,1
95,Speed,120,3,0.308553684,40.08037801,73.73,10,11,3.1129,3.473,1.464,1.464,1
