,PayOffFunction,Radius,Noise,IKINumber,MaxDeviation,MaxNrDigits,TrackingWindowVisitCounter,MeanTimeTypingWindow
1029,Accuracy,120,3,0.38790115497076,125.51,9,3,2.4033
1510,Accuracy,120,3,0.4030171052631579,89.2,9,2,2.74463333333333
1570,Accuracy,120,3,0.4514504970760229,87.14,11,1,4.4631
1393,Accuracy,120,3,0.44272789473684204,68.56,7,4,2.1264
1245,Accuracy,120,3,0.22363078947368398,52.25,12,1,2.93875
1885,Accuracy,120,3,0.289582368421053,57.73,12,1,3.20125
1391,Accuracy,120,3,0.44272789473684204,92.4,7,4,2.46632
1516,Accuracy,120,3,0.4030171052631579,59.49,13,1,4.4033
1249,Accuracy,120,3,0.22363078947368398,81.93,11,1,2.84365
1289,Accuracy,120,3,0.404969736842105,39.36,15,1,3.4737
1392,Accuracy,120,3,0.44272789473684204,78.54,7,5,1.82536666666667
1783,Accuracy,120,3,0.22610026315789497,43.19,13,1,2.62095
1514,Accuracy,120,3,0.4030171052631579,45.75,11,1,4.69965
1882,Accuracy,120,3,0.289582368421053,68.4,11,1,3.03825
1399,Accuracy,120,3,0.44272789473684204,66.35,9,3,3.0353
1057,Accuracy,120,3,0.25489235380117004,67.35,20,0,5.6577
1036,Accuracy,120,3,0.38790115497076,70.23,11,2,3.0774
1290,Accuracy,120,3,0.404969736842105,61.17,9,3,1.499075
1606,Accuracy,120,3,0.211221578947368,58.43,12,1,2.4548
1500,Accuracy,120,3,0.4030171052631579,71.91,5,4,2.20972
1281,Accuracy,120,3,0.404969736842105,62.34,13,2,1.8611333333333302
1243,Accuracy,120,3,0.22363078947368398,124.63,20,0,5.0714
1055,Accuracy,120,3,0.25489235380117004,101.75,12,1,2.95065
1385,Accuracy,120,3,0.44272789473684204,88.62,7,4,2.7302
446,Speed,80,3,0.38419394736842105,104.96,11,1,3.3604
452,Speed,80,3,0.38419394736842105,76.32,11,1,4.07925
746,Speed,80,3,0.18430421052631601,82.25,20,0,4.2721
448,Speed,80,3,0.38419394736842105,69.21,12,1,3.5551
314,Speed,80,3,0.469810526315789,76.75,8,4,2.60862
192,Speed,80,3,0.39388921052631604,101.87,12,3,2.691575
749,Speed,80,3,0.18430421052631601,67.19,20,0,4.0748
310,Speed,80,3,0.469810526315789,90.37,8,3,2.854475
180,Speed,80,3,0.39388921052631604,76.65,8,2,3.68286666666667
563,Speed,80,3,0.264108157894737,78.34,20,0,5.2698
648,Speed,80,3,0.184142105263158,55.51,20,0,3.7461
649,Speed,80,3,0.184142105263158,96.97,20,0,4.4463
380,Speed,80,3,0.316916315789474,42.92,6,4,1.42036
9,Speed,80,3,0.30855368421052604,63.01,9,2,2.1936
653,Speed,80,3,0.184142105263158,84.96,20,0,4.2988
566,Speed,80,3,0.264108157894737,105.79,20,0,5.3245
