,Radius,Noise,IKINumber,MeanDeviation,MaxDeviation,MeanNrDigits,MaxNrDigits,MeanTimeTypingWindow,MaxTimeTypingWindow,MeanTrackingTime,MaxTrackingTime,TrackingWindowVisitCounter,TrialNumber,distance,prediction,label,is_test,SubjectNr,TrialNumber,Block,Score
0,80,3,0.308553684,31.83689904,76.66,5.0,6,2.07905,2.8536,1.331466667,1.652,3,107,-0.7685407049451575,Accuracy,Speed,TRUE,101,107,1,0.028
1,80,3,0.308553684,16.51833333,44.27,6.666666667,9,2.111166667,2.3783,1.2012,1.0343,2,108,-1.098200487553013,Accuracy,Speed,FALSE,101,108,1,0.07
2,80,3,0.308553684,26.66119355,69.16,6.666666667,8,2.060633333,2.4747,1.3429,1.3780000000000001,2,109,-1.1974043338154146,Accuracy,Speed,TRUE,101,109,1,0.062
3,80,3,0.308553684,36.79918831,71.33,10.0,11,3.28685,3.3149,1.5826,1.5826,1,110,-0.0007812628878246519,Accuracy,Speed,FALSE,101,110,1,0.073
4,80,3,0.308553684,15.09685096,37.37,5.0,7,2.154425,3.6314,0.989533333,1.1029,3,111,-0.24526117431422756,Accuracy,Speed,FALSE,101,111,1,0.013
5,80,3,0.308553684,27.75648101,66.45,5.0,9,1.9347,3.3108,1.3771,1.5838,3,112,-0.40750960057858643,Accuracy,Speed,FALSE,101,112,2,0.031
6,80,3,0.308553684,27.95307888,69.58,5.0,10,1.928625,4.0674,1.331166667,1.4453,3,113,0.3117086666185417,Speed,Speed,FALSE,101,113,2,0.022
7,80,3,0.308553684,14.23290909,45.58,5.0,7,1.62835,2.4539,1.0111666670000001,1.1714,3,114,-0.74653385746404,Accuracy,Speed,FALSE,101,114,2,0.053
8,80,3,0.308553684,29.03123188,70.15,10.0,11,2.93675,2.9834,1.3081,1.3081,1,115,-0.02379704374395908,Accuracy,Speed,FALSE,101,115,2,0.091
9,80,3,0.308553684,30.585,63.01,6.666666667,9,2.1936,2.6,1.17225,1.2398,2,116,-0.8644802060424878,Accuracy,Speed,FALSE,101,116,2,0.061
10,80,3,0.308553684,20.85303754,42.05,6.666666667,7,2.028233333,2.2794,0.89785,1.0348,2,117,-1.1408373389467896,Accuracy,Speed,FALSE,101,117,3,0.077
11,80,3,0.308553684,30.962703700000002,76.32,10.0,11,2.86325,3.1367,1.3092,1.3092,1,118,-0.035774596449255625,Accuracy,Speed,FALSE,101,118,3,0.094
12,80,3,0.308553684,31.43309804,73.51,10.0,12,2.76335,3.3752,0.8299,0.8299,1,119,0.6537728296435384,Speed,Speed,FALSE,101,119,3,0.11
13,80,3,0.308553684,20.30364548,53.54,10.0,12,3.26135,3.8375,1.1022,1.1022,1,120,0.22855301164717423,Speed,Speed,FALSE,101,120,3,0.082
14,80,3,0.308553684,20.37582192,51.72,6.666666667,7,1.9858333330000002,2.1847,0.99975,1.0345,2,121,-1.143465349707252,Accuracy,Speed,FALSE,101,121,3,0.076
15,80,3,0.308553684,34.95007042,78.24,6.666666667,8,1.869933333,2.1084,1.24065,1.4466,2,122,-1.1763108184962703,Accuracy,Speed,FALSE,101,122,4,0.074
16,80,3,0.308553684,14.65613559,40.7,6.666666667,8,2.0366,2.8141,0.89725,0.9648,2,123,-0.885937755942224,Accuracy,Speed,FALSE,101,123,4,0.067
17,80,3,0.308553684,27.92028169,53.51,10.0,12,3.05195,3.4428,1.1716,1.1716,1,124,-0.06886646962623766,Accuracy,Speed,FALSE,101,124,4,0.079
18,80,3,0.308553684,23.27090411,62.78,6.666666667,9,2.5211666669999997,3.2663,1.2753,1.3090000000000002,2,125,-0.37345346741895946,Accuracy,Speed,FALSE,101,125,4,0.026
19,80,3,0.308553684,26.38741742,66.79,10.0,12,3.589,3.7119999999999997,1.5824,1.5824,1,126,0.7732885788910574,Speed,Speed,FALSE,101,126,4,0.063
20,120,5,0.308553684,35.35212245,82.4,4.0,7,1.75954,2.78,2.028425,2.6315,4,17,-0.48342845798709655,Accuracy,Speed,TRUE,101,17,1,0.01
21,120,5,0.308553684,48.63179104,123.94,5.0,7,2.09435,2.7786,1.244766667,2.0452,3,18,-0.09558947892029346,Accuracy,Speed,FALSE,101,18,1,0.008
22,120,5,0.308553684,44.77348584,141.65,4.0,6,1.66474,2.1525,1.810675,2.4103,4,19,-0.2026774108096674,Accuracy,Speed,TRUE,101,19,1,-0.015
23,120,5,0.308553684,28.63831897,68.2,3.333333333,4,1.31695,1.7192,1.74058,2.7774,5,20,-1.939021823977734,Accuracy,Speed,FALSE,101,20,1,0.01
24,120,5,0.308553684,35.70838617,93.18,5.0,9,1.63495,2.3378,1.4396,1.68,3,21,-0.28870651980200657,Accuracy,Speed,FALSE,101,21,1,0.039
25,120,5,0.308553684,64.33812698,133.84,6.666666667,11,2.1642666669999997,3.1458,1.3565,1.9751,2,22,1.000296997939977,Speed,Speed,FALSE,101,22,2,0.03
26,120,5,0.308553684,51.12616915,125.14,5.0,9,1.704325,3.0861,2.5064666669999998,2.7734,3,23,-0.6790974226768917,Accuracy,Speed,FALSE,101,23,2,0.005
27,120,5,0.308553684,29.435,96.01,4.0,6,1.4638200000000001,2.4004,1.3984,1.8281,4,24,0.1576359880867232,Speed,Speed,FALSE,101,24,2,0.024
28,120,5,0.308553684,45.19767908,129.99,5.0,7,1.641225,2.0761,1.4865,2.4091,3,25,-1.2460247501773662,Accuracy,Speed,FALSE,101,25,2,0.03
29,120,5,0.308553684,24.1360559,63.38,5.0,11,1.648025,3.2689,0.759466667,1.4631,3,26,0.6888128048610641,Speed,Speed,FALSE,101,26,2,0.052
30,120,5,0.308553684,36.4647929,89.87,6.666666667,11,2.501633333,3.8333,0.9533,1.3898,2,27,0.6255689609362692,Speed,Speed,FALSE,101,27,3,0.034
31,120,5,0.308553684,39.27426768,101.61,5.0,8,1.9674,3.1822,1.318366667,1.757,3,28,0.6044694949597181,Speed,Speed,FALSE,101,28,3,0.011
32,120,5,0.308553684,58.12298667,141.79,5.0,9,1.741075,2.6293,1.7321666669999998,2.3417,3,29,-0.22492222713320353,Accuracy,Speed,FALSE,101,29,3,-0.006
33,120,5,0.308553684,37.17700748,97.01,4.0,6,1.31946,2.1265,2.057725,2.7007,4,30,-0.6209051327335698,Accuracy,Speed,FALSE,101,30,3,0.006
34,120,5,0.308553684,20.61901274,52.7,6.666666667,13,2.163166667,3.9488,1.02655,1.4633,2,31,0.8526560622460609,Speed,Speed,FALSE,101,31,3,0.046
35,120,5,0.308553684,53.64656151,128.56,6.666666667,13,2.079566667,3.2433,1.57445,1.9028,2,32,-0.36857619352056903,Accuracy,Speed,FALSE,101,32,4,0.042
36,120,5,0.308553684,51.2,150.85,6.666666667,7,2.2616,2.4745,1.61155,2.1215,2,33,0.01910764318779623,Speed,Speed,FALSE,101,33,4,0.017
37,120,5,0.308553684,32.79362776,82.21,6.666666667,12,2.1028,3.5469999999999997,1.57415,1.611,2,34,0.8714074481470307,Speed,Speed,FALSE,101,34,4,0.054
38,120,5,0.308553684,41.72636156,89.23,6.666666667,9,3.106933333,4.2659,1.35705,1.4675,2,35,0.7587197739897095,Speed,Speed,FALSE,101,35,4,-0.01
39,120,5,0.308553684,37.45596154,92.13,6.666666667,12,2.603,4.5473,0.9918,1.0283,2,36,1.7408910923909304,Speed,Speed,FALSE,101,36,4,0.05
40,80,5,0.308553684,46.51957143,119.0,5.0,9,1.655075,2.7607,1.533433333,1.7883,3,47,1.2809285756637205,Speed,Speed,TRUE,101,47,1,-0.101
41,80,5,0.308553684,30.25523148,118.35,2.857142857,5,1.166966667,1.9215,-0.616316667,2.1983,5,48,0.9994952977759027,Speed,Speed,FALSE,101,48,1,-0.026
42,80,5,0.308553684,27.07642667,91.42,3.333333333,7,1.109216667,2.1944,1.0885200000000002,1.3763,5,49,0.6955852103657408,Speed,Speed,TRUE,101,49,1,0.017
43,80,5,0.308553684,18.93698113,59.16,4.0,6,1.38398,1.8511,1.1549,1.5819999999999999,4,50,-0.7103431822664307,Accuracy,Speed,FALSE,101,50,1,0.033
44,80,5,0.308553684,36.03432258,108.21,4.0,6,1.7708,2.405,1.3769,1.5814,4,51,0.9114665773996476,Speed,Speed,FALSE,101,51,1,-0.065
