,Radius,Noise,IKINumber,MaxDeviation,MaxNrDigits,TrackingWindowVisitCounter,MeanTimeTypingWindow,PayOffFunction
722,120,5,0.18430421052631601,58.61,20,0,4.0466,Speed
467,120,5,0.38419394736842105,144.59,10,1,3.3153,Speed
1275,80,5,0.22363078947368398,82.44,6,3,1.297775,Accuracy
1635,80,5,0.211221578947368,93.06,6,3,1.261325,Accuracy
66,120,3,0.30855368421052604,121.64,11,1,3.33965,Speed
322,120,3,0.316916315789474,96.1,20,0,8.0772,Speed
571,80,3,0.264108157894737,137.42,20,0,5.901,Speed
659,80,3,0.184142105263158,109.68,20,0,4.1718,Speed
1423,120,5,0.44272789473684204,109.52,5,5,1.67588333333333,Accuracy
1829,120,5,0.22610026315789497,115.78,8,2,1.8110333333333302,Accuracy
1287,120,3,0.404969736842105,63.27,10,4,1.25492,Accuracy
1511,120,3,0.4030171052631579,83.3,7,2,2.82853333333333,Accuracy
555,80,5,0.28634421052631603,126.19,9,2,2.45276666666667,Speed
785,80,5,0.18430421052631601,170.67,20,0,5.0546,Speed
1686,80,3,0.258833157894737,85.1,9,2,1.83746666666667,Accuracy
1870,80,3,0.289582368421053,59.58,7,2,2.6769,Accuracy
1334,120,5,0.404969736842105,98.24,8,6,0.9231857142857142,Accuracy
1531,120,5,0.4514504970760229,106.3,5,6,1.47288571428571,Accuracy
257,120,3,0.469810526315789,99.05,20,0,9.9167,Speed
330,120,3,0.316916315789474,124.24,20,0,7.4464,Speed
1240,120,3,0.22363078947368398,90.28,13,1,3.21775,Accuracy
1390,120,3,0.44272789473684204,77.11,5,4,2.31422,Accuracy
480,120,5,0.28634421052631603,67.59,7,3,1.574825,Speed
585,120,5,0.264108157894737,122.71,13,1,3.1883,Speed
1665,80,3,0.211221578947368,53.72,8,3,1.242075,Accuracy
1456,80,3,0.4030171052631579,53.32,6,3,2.421725,Accuracy
853,80,3,0.394169473684211,58.31,14,1,4.02595,Speed
946,80,3,0.38239945906432704,46.65,13,2,2.6936666666666698,Speed
1123,80,5,0.27560500000000004,56.69,4,5,1.08056666666667,Accuracy
1488,80,5,0.4030171052631579,97.94,4,6,1.6353857142857098,Accuracy
85,80,5,0.197858157894737,71.24,9,3,1.486125,Speed
906,80,5,0.38239945906432704,81.32,9,3,2.277425,Speed
514,80,3,0.28634421052631603,78.8,12,2,2.4027,Speed
451,80,3,0.38419394736842105,60.79,10,1,3.2536,Speed
998,120,5,0.38790115497076,116.27,11,2,2.7779,Accuracy
1333,120,5,0.404969736842105,87.16,8,4,1.2845,Accuracy
1759,120,3,0.258833157894737,80.59,10,2,1.98656666666667,Accuracy
