,Radius,Noise,IKINumber,MeanDeviation,MaxDeviation,MeanNrDigits,MaxNrDigits,MeanTimeTypingWindow,MaxTimeTypingWindow,MeanTrackingTime,MaxTrackingTime,TrackingWindowVisitCounter,distance,PayOffFunction,prediction,is_test
1534,120,5,0.451450497,41.18860544,91.88,2.5,5,1.2593625,2.6515,1.5577428569999998,3.8661,7,-1.0196626844727845,Accuracy,Accuracy,True
1181,120,5,0.27560500000000004,41.12286164,120.01,5.0,7,1.50385,1.9555,1.273,1.834,3,-1.238547782651601,Accuracy,Accuracy,True
1521,120,5,0.451450497,47.61620504,166.16,2.857142857,6,1.1689,2.3753,2.397066667,3.99,6,-0.3889522676474755,Accuracy,Accuracy,True
1196,120,5,0.27560500000000004,37.89308411,83.65,10.0,10,3.41785,3.59,1.7643,1.7643,1,-0.0022471199322282587,Accuracy,Accuracy,True
1197,120,5,0.27560500000000004,32.21739286,70.92,6.666666667,9,1.9798333330000002,2.3917,1.03045,1.0313,2,-0.8916913460309317,Accuracy,Accuracy,True
1706,120,5,0.258833158,51.98028261,110.31,4.0,11,1.7327,3.2101,1.503025,2.0514,4,0.2917077405084072,Accuracy,Speed,True
986,120,5,0.387901155,57.66248748,117.5,4.0,8,1.9135400000000002,3.2067,3.454125,5.9942,4,-1.121186600748267,Accuracy,Accuracy,True
1209,120,5,0.223630789,32.6772327,72.58,6.666666667,8,1.9794666669999998,2.8911,2.01405,2.5632,2,-0.9499152266068833,Accuracy,Accuracy,True
984,120,5,0.387901155,59.29520394,147.23,5.0,7,2.603375,3.5024,6.566433332999999,9.4018,3,-2.8394950022003442,Accuracy,Accuracy,True
1094,120,5,0.254892354,39.64315961,106.26,2.5,4,0.6209125,1.1418,0.7896142859999999,1.3237,7,-2.190133640416427,Accuracy,Accuracy,True
1083,120,5,0.254892354,44.49214689,90.73,2.5,4,0.7404875,1.2131,0.8728,1.2476,7,-2.255148865940207,Accuracy,Accuracy,True
1183,120,5,0.27560500000000004,52.78940984,102.49,6.666666667,7,2.0112333330000003,2.1713,1.46665,1.6869,2,-0.9264651025999839,Accuracy,Accuracy,True
1085,120,5,0.254892354,43.53335443,85.51,2.857142857,4,0.7484142859999999,1.0905,0.9193,1.3952,6,-2.4773225038210214,Accuracy,Accuracy,True
1439,120,5,0.442727895,29.48497731,82.61,2.857142857,4,1.8840571430000002,3.1417,1.37015,1.7615,6,-0.47742307531472505,Accuracy,Accuracy,True
993,120,5,0.387901155,41.73951737,89.69,5.0,9,2.3274,3.3604,2.9202,4.8886,3,-0.37846508271990587,Accuracy,Accuracy,True
1089,120,5,0.254892354,34.99186312,94.83,2.857142857,4,0.640742857,0.8202,0.639316667,0.8823,6,-2.493790781822433,Accuracy,Accuracy,True
1713,120,5,0.258833158,42.42626781,104.61,6.666666667,9,2.2719,2.7629,1.9421,2.7091,2,-0.558402113484469,Accuracy,Accuracy,True
1323,120,5,0.40496973700000005,50.83350427,115.33,2.857142857,9,0.8776714290000001,2.6384,0.895,1.5375,6,-0.20018516337983527,Accuracy,Accuracy,True
1324,120,5,0.40496973700000005,32.57432642,67.88,2.857142857,5,1.038885714,1.7337,0.870533333,1.1769,6,-1.7771058383759666,Accuracy,Accuracy,True
1337,120,5,0.40496973700000005,41.89672414,83.56,6.666666667,12,2.0883,3.8056,0.91975,1.1032,2,0.8760544206078364,Accuracy,Speed,True
1327,120,5,0.40496973700000005,36.86405263,84.22,2.0,3,0.60553,1.0164,0.8338,1.4675,9,-2.44533889351316,Accuracy,Accuracy,True
1714,120,5,0.258833158,57.22203390000001,128.41,10.0,12,2.9925,3.0695,2.2717,2.2717,1,-0.19264770760332084,Accuracy,Accuracy,True
1654,120,5,0.211221579,56.9753,101.16,6.666666667,8,1.254233333,1.5835,0.8836,0.9572,2,-0.9821713255495226,Accuracy,Accuracy,True
1321,120,5,0.40496973700000005,35.76894595,91.64,5.0,10,1.972525,3.2113,1.078433333,1.4671,3,0.2984574161994331,Accuracy,Speed,True
1343,80,3,0.40496973700000005,22.23653846,60.23,4.0,10,1.1797600000000001,3.3692,0.82945,1.1037,4,-0.19745698552866742,Accuracy,Accuracy,True
966,80,3,0.387901155,34.50253353,76.24,5.0,7,2.516,3.9546,5.553466667,8.9116,3,-2.5936555394001672,Accuracy,Accuracy,True
1160,80,3,0.27560500000000004,69.29920502,117.34,20.0,20,5.4479,5.4479,0.0,0.0,0,1.023132934540122,Accuracy,Speed,True
1866,80,3,0.28958236800000003,32.97306233,91.13,6.666666667,8,2.6038333330000003,3.3118,1.1028,1.3081,2,0.19139928142397622,Accuracy,Speed,True
1801,80,3,0.226100263,14.53501859,39.05,10.0,12,2.85215,3.0394,1.2408,1.2408,1,-0.6216873612501033,Accuracy,Accuracy,True
1699,80,3,0.258833158,37.70727612,60.27,6.666666667,11,1.7377333330000002,2.5692,1.2055,1.3097,2,-1.2738045195371726,Accuracy,Accuracy,True
1164,80,3,0.27560500000000004,30.19915858,55.64,10.0,11,3.1552,3.3401,2.2030000000000003,2.2030000000000003,1,-0.9993172944787077,Accuracy,Accuracy,True
1224,80,3,0.223630789,15.38550489,46.0,6.666666667,11,1.986466667,2.612,1.51345,1.9932,2,-0.9896569578977434,Accuracy,Accuracy,True
1814,80,3,0.226100263,31.08594142,72.6,10.0,11,2.4885,2.6479,1.1717,1.1717,1,-0.5671360533468643,Accuracy,Accuracy,True
1691,80,3,0.258833158,18.88293629,47.35,5.0,6,1.780975,1.9547,1.1037,1.171,3,-1.4287229781400512,Accuracy,Accuracy,True
1220,80,3,0.223630789,22.17239382,51.89,6.666666667,13,1.8022,2.6409,0.6577,0.6927,2,-0.48714025133369177,Accuracy,Accuracy,True
1812,80,3,0.226100263,19.56453704,37.18,10.0,11,2.3134,2.6356,0.6235,0.6235,1,-0.7495731390041485,Accuracy,Accuracy,True
1459,80,3,0.403017105,21.18428854,57.12,4.0,5,1.97386,2.8478,1.428425,1.7183,4,-1.0440599402323798,Accuracy,Accuracy,True
977,80,3,0.387901155,37.24322702,72.95,4.0,7,1.6639,2.678,2.97475,3.9992,4,-2.159078130808659,Accuracy,Accuracy,True
1169,80,3,0.27560500000000004,20.7120979,45.12,10.0,12,3.07785,4.18,1.1054,1.1054,1,-0.22170034137399597,Accuracy,Accuracy,True
1870,80,3,0.28958236800000003,23.8772,59.58,6.666666667,7,2.6769,2.9275,1.03495,1.1037,2,-0.8350678129275977,Accuracy,Accuracy,True
1456,80,3,0.403017105,23.04926587,53.32,5.0,6,2.421725,3.2044,2.089,2.7468,3,-1.255079685271987,Accuracy,Accuracy,True
1239,80,3,0.223630789,27.61386059,67.92,6.666666667,7,2.4975333330000002,3.1905,1.5819999999999999,2.062,2,-0.9503943807140942,Accuracy,Accuracy,True
1559,80,3,0.451450497,39.64476723,123.29,4.0,6,2.15358,2.5660000000000003,1.3437,2.2005,4,-0.46019228713861793,Accuracy,Accuracy,True
968,80,3,0.387901155,32.09372828,75.39,4.0,8,1.85758,3.2316,4.2009,5.8932,4,-1.8022595609695529,Accuracy,Accuracy,True
971,80,3,0.387901155,27.19882253,56.98,5.0,6,2.484,3.076,3.7289999999999996,5.1434,3,-2.2271062861029733,Accuracy,Accuracy,True
1548,80,3,0.451450497,36.22186583,78.16,6.666666667,9,3.403133333,4.4638,1.54965,1.791,2,0.5459949525412711,Accuracy,Speed,True
1679,80,3,0.211221579,26.77314741,55.83,5.0,6,1.118725,1.5014,1.058233333,1.3089,3,-2.1666161575495764,Accuracy,Accuracy,True
1410,80,3,0.442727895,33.68445364,87.02,3.333333333,6,1.887666667,2.6661,1.67966,2.2707,5,-0.7354058101533312,Accuracy,Accuracy,True
1287,120,3,0.40496973700000005,33.74044164,63.27,4.0,10,1.25492,3.7698,0.774575,1.1038,4,-1.0196979613672212,Accuracy,Accuracy,True
1020,120,3,0.387901155,22.04259003,53.25,4.0,7,1.9798,3.0009,5.436625,10.9442,4,-1.3971236991977705,Accuracy,Accuracy,True
1604,120,3,0.211221579,33.44364929,58.99,10.0,13,2.1653,3.1574,1.0301,1.0301,1,-0.9991775022035583,Accuracy,Accuracy,True
1056,120,3,0.254892354,46.88050473,110.93,6.666666667,10,2.212533333,3.7957,0.99195,1.3936,2,-0.6784702593065433,Accuracy,Accuracy,True
1255,120,3,0.223630789,34.24271255,72.96,10.0,10,2.61445,2.7461,1.1726,1.1726,1,-1.8132545100361241,Accuracy,Accuracy,True
1502,120,3,0.403017105,22.46323232,68.35,6.666666667,9,2.878366667,3.8375,1.10225,1.3214,2,-1.108970399570687,Accuracy,Accuracy,True
1140,120,3,0.27560500000000004,28.86163987,72.68,6.666666667,9,2.077833333,2.7036,1.3937,1.8321,2,-1.8765985066320283,Accuracy,Accuracy,True
1512,120,3,0.403017105,34.48807554,72.1,6.666666667,7,4.038633333,4.796,1.6855,2.0496,2,-1.060755525328311,Accuracy,Accuracy,True
1023,120,3,0.387901155,46.67958466,112.52,5.0,8,2.261525,3.8646,6.103566667000001,8.899,3,-3.0237395696883524,Accuracy,Accuracy,True
1885,120,3,0.28958236800000003,19.48880546,57.73,10.0,12,3.20125,3.827,1.1009,1.1009,1,-0.7957389168047868,Accuracy,Accuracy,True
1147,120,3,0.27560500000000004,40.54972477,70.32,10.0,11,3.61795,4.3319,1.0321,1.0321,1,-0.8896490284536114,Accuracy,Accuracy,True
1394,120,3,0.442727895,25.13737475,59.17,5.0,7,2.667325,3.931,1.1016333329999999,1.6107,3,-1.4974638054931049,Accuracy,Accuracy,True
1600,120,3,0.211221579,34.92202703,59.82,6.666666667,9,1.5266333330000001,2.2264,0.701,0.7374,2,-2.338219422899776,Accuracy,Accuracy,True
1249,120,3,0.223630789,42.61701107,81.93,10.0,11,2.84365,3.1442,1.3902,1.3902,1,-1.3582133438592265,Accuracy,Accuracy,True
1797,120,3,0.226100263,28.11893443,52.31,10.0,12,2.5003,3.2519,1.6142,1.6142,1,-1.12320344259944,Accuracy,Accuracy,True
1884,120,3,0.28958236800000003,31.36680782,88.76,10.0,11,3.27795,3.8516,1.5406,1.5406,1,-0.9994970287999578,Accuracy,Accuracy,True
1615,120,3,0.211221579,27.9915,50.88,10.0,11,2.3069,2.4431,0.8095,0.8095,1,-1.6669970940576988,Accuracy,Accuracy,True
1050,120,3,0.254892354,59.42632411,100.68,20.0,20,5.8205,5.8205,0.0,0.0,0,0.9989008558532149,Accuracy,Speed,True
1153,120,3,0.27560500000000004,16.96071429,42.98,10.0,11,3.2658,3.8398,0.7382,0.7382,1,-1.0812277239740453,Accuracy,Accuracy,True
1248,120,3,0.223630789,52.02054795,90.73,10.0,11,3.1277,3.3501,1.4646,1.4646,1,-1.1491297290427767,Accuracy,Accuracy,True
1247,120,3,0.223630789,23.52118852,68.95,10.0,14,2.5666,3.4094,1.1688,1.1688,1,-0.6173463645490003,Accuracy,Accuracy,True
1397,120,3,0.442727895,26.28920388,64.72,5.0,9,2.80775,5.0929,1.102,1.1754,3,-0.37971688940432813,Accuracy,Accuracy,True
1897,120,3,0.28958236800000003,31.082367600000005,71.92,10.0,12,3.5129,4.0011,1.3207,1.3207,1,-0.692827329718618,Accuracy,Accuracy,True
1783,120,3,0.226100263,18.98247863,43.19,10.0,13,2.62095,3.3187,0.5186,0.5186,1,-0.8278990413393714,Accuracy,Accuracy,True
651,80,3,0.184142105,49.99497297,85.09,20.0,20,4.1224,4.1224,0.0,0.0,0,1.3852196673802908,Speed,Speed,True
516,80,3,0.286344211,12.41283828,42.34,20.0,20,7.0718,7.0718,0.0,0.0,0,1.700481095573771,Speed,Speed,True
945,80,3,0.382399459,20.62651111,44.85,4.0,6,1.7289,2.7268,1.32585,1.4455,4,-1.154278876984442,Speed,Accuracy,True
16,80,3,0.308553684,14.65613559,40.7,6.666666667,8,2.0366,2.8141,0.89725,0.9648,2,-0.9241573571452975,Speed,Accuracy,True
6,80,3,0.308553684,27.95307888,69.58,5.0,10,1.928625,4.0674,1.331166667,1.4453,3,0.2663305303839323,Speed,Speed,True
181,80,3,0.393889211,38.93658055,105.57,3.333333333,8,2.133333333,3.6076,1.61194,2.9552,5,0.6116596732962378,Speed,Speed,True
947,80,3,0.382399459,33.6416,97.66,5.0,9,2.785175,4.7321,1.7868333330000001,2.1277,3,1.603734633666484,Speed,Speed,True
389,80,3,0.31691631600000003,25.03172603,57.16,5.0,6,1.854175,2.5768,0.944533333,1.1047,3,-1.2767113052211627,Speed,Accuracy,True
515,80,3,0.286344211,19.9284083,40.91,20.0,20,6.7213,6.7213,0.0,0.0,0,1.886155692930636,Speed,Speed,True
1,80,3,0.308553684,16.51833333,44.27,6.666666667,9,2.111166667,2.3783,1.0012,1.0343,2,-0.9903684249103364,Speed,Accuracy,True
450,80,3,0.38419394700000004,34.60344907,87.59,5.0,9,2.2099,4.1366,1.2165,2.2666,3,0.8386775865774396,Speed,Speed,True
575,80,3,0.264108158,27.89340659,53.62,20.0,20,6.3003,6.3003,0.0,0.0,0,2.273194060514136,Speed,Speed,True
317,80,3,0.469810526,27.17243408,71.33,4.0,9,2.12868,3.813,0.693475,1.5171,4,0.579024496569339,Speed,Speed,True
847,80,3,0.39416947399999996,43.7464951,83.46,10.0,14,4.56375,6.4224,2.1345,2.1345,1,1.7069122095280207,Speed,Speed,True
754,80,3,0.18430421100000002,28.75977186,50.09,10.0,10,2.8402,3.4724,0.833,0.833,1,-0.7111162945227463,Speed,Accuracy,True
759,80,3,0.18430421100000002,42.43795652,76.68,20.0,20,5.2002,5.2002,0.0,0.0,0,1.9638562015537744,Speed,Speed,True
505,80,3,0.286344211,32.46822281,57.12,5.0,12,2.6939666669999998,4.7002,-2.678866667,1.1029,2,1.1727763941102083,Speed,Speed,True
122,80,3,0.197858158,65.09880952,102.61,20.0,20,6.1079,6.1079,0.0,0.0,0,1.0790215073435618,Speed,Speed,True
