,Radius,Noise,IKINumber,MeanDeviation,MaxDeviation,MeanNrDigits,MaxNrDigits,MeanTimeTypingWindow,MaxTimeTypingWindow,MeanTrackingTime,MaxTrackingTime,TrackingWindowVisitCounter,distance,PayOffFunction,TrialNumber,prediction,is_test
376,120,5,0.31691631600000003,51.66131579,114.92,4.0,8,1.60572,2.9599,1.26485,1.5375,4,0.35201555196909995,Speed,63,Speed,True
145,120,5,0.197858158,76.76125,139.88,10.0,20,3.0664,5.822,0.2262,0.2262,1,14.439531943112039,Speed,82,Speed,True
144,120,5,0.197858158,38.110625,85.72,10.0,20,2.43485,4.5592,0.153,0.153,1,2.1210531197314157,Speed,81,Speed,True
931,120,5,0.382399459,40.32479319,82.86,5.0,8,2.0155,3.8828,1.5360333330000002,1.7532,3,0.3057622478607751,Speed,58,Speed,True
27,120,5,0.308553684,29.435,96.01,4.0,6,1.4638200000000001,2.4004,1.3984,1.8281,4,0.8956237047733628,Speed,24,Speed,True
471,120,5,0.38419394700000004,57.42144404,93.9,10.0,12,2.95245,3.5788,1.3928,1.3928,1,0.9995329037175442,Speed,88,Speed,True
583,120,5,0.264108158,52.48123377,105.37,10.0,14,3.43095,5.5919,0.7373,0.7373,1,4.878443074494307,Speed,20,Speed,True
153,120,5,0.197858158,66.76329457,112.31,6.666666667,20,1.827866667,4.6663,0.5542,0.9555,2,6.9544273710938675,Speed,90,Speed,True
593,120,5,0.264108158,60.32670139,126.19,10.0,13,3.07835,4.0299,1.3964,1.3964,1,1.0000614964997814,Speed,30,Speed,True
176,120,5,0.393889211,57.27469667,149.25,4.0,6,1.9548599999999998,2.7299,1.686075,2.635,4,1.023644291258377,Speed,123,Speed,True
171,120,5,0.393889211,55.78985689,136.16,5.0,9,2.792175,4.8902,2.099766667,2.3427,3,1.3832243134766866,Speed,118,Speed,True
590,120,5,0.264108158,44.22612903,102.32,10.0,12,3.5744,4.505,0.884,0.884,1,2.4728127607157298,Speed,27,Speed,True
167,120,5,0.393889211,42.205,133.47,4.0,6,1.78562,2.5746,1.8674,2.4901,4,0.34763648466330377,Speed,114,Speed,True
285,120,5,0.469810526,43.5716847,113.02,4.0,6,2.64512,4.0328,1.741725,2.052,4,2.028055223272423,Speed,52,Speed,True
366,120,5,0.31691631600000003,38.58037559,120.19,3.333333333,5,1.372783333,2.0445,0.97,1.248,5,-1.4328855403190057,Speed,53,Accuracy,True
365,120,5,0.31691631600000003,47.90275,114.12,4.0,6,1.95012,3.2199,1.138275,2.1214,4,0.9270377998598374,Speed,52,Speed,True
39,120,5,0.308553684,37.45596154,92.13,6.666666667,12,2.603,4.5473,0.9918,1.0283,2,1.8409480277281371,Speed,36,Speed,True
930,120,5,0.382399459,51.09766004,110.69,5.0,9,2.203125,4.2847,1.829666667,2.1225,3,1.840151312675789,Speed,57,Speed,True
367,120,5,0.31691631600000003,41.14534483,113.69,4.0,6,1.8712,2.9297,1.284075,1.5373,4,0.4252252043437186,Speed,54,Speed,True
736,120,5,0.18430421100000002,93.24800995,195.67,20.0,20,4.5016,4.5016,0.0,0.0,0,0.9999744190336664,Speed,123,Speed,True
866,120,5,0.39416947399999996,70.26094907,179.1,5.0,8,2.12215,3.1824,1.6343,2.9905,3,1.0000966422947979,Speed,83,Speed,True
163,120,5,0.393889211,30.93246862,96.34,4.0,6,1.7971400000000002,2.7509,1.796,2.2703,4,1.1745458882840714,Speed,110,Speed,True
869,120,5,0.39416947399999996,31.47069136,68.6,5.0,6,2.161225,3.0831,0.761733333,0.8834,3,-0.7652772588277603,Speed,86,Accuracy,True
666,120,5,0.184142105,26.82311966,61.46,10.0,13,2.439,2.8684,1.2513,1.2513,1,0.9995997143760302,Speed,23,Speed,True
406,80,5,0.38419394700000004,43.15334495,104.51,6.666666667,9,1.9714,2.3922,1.30955,1.7203,2,1.0002181654696374,Speed,113,Speed,True
783,80,5,0.18430421100000002,67.40157609,113.6,20.0,20,4.0331,4.0331,0.0,0.0,0,3.081365142863998,Speed,80,Speed,True
358,80,5,0.31691631600000003,31.200321999999996,90.02,2.5,5,1.19565,1.6735,1.416914286,2.0634,7,0.20555498123048865,Speed,35,Speed,True
816,80,5,0.39416947399999996,46.48332386,106.05,6.666666667,9,2.5114,3.6172,0.89845,0.9661,2,2.218850268738059,Speed,123,Speed,True
689,80,5,0.184142105,47.11986239,138.96,10.0,17,2.22705,3.5337,1.1742,1.1742,1,2.1705378202868912,Speed,56,Speed,True
919,80,5,0.382399459,37.7740885,96.3,2.857142857,5,1.2400285709999999,2.3737,2.130033333,2.5405,6,-0.03862117115027619,Speed,36,Accuracy,True
904,80,5,0.382399459,56.98686028,138.31,4.0,8,2.4548,4.437,2.148475,2.4714,4,0.9998125251657299,Speed,21,Speed,True
52,80,5,0.308553684,34.01541463,95.96,3.333333333,6,1.150916667,1.8556,1.43206,1.8569,5,0.5333999061607382,Speed,59,Speed,True
57,80,5,0.308553684,23.68554702,101.5,2.5,3,1.0898625,1.5966,1.346957143,2.0594,7,1.000120580883077,Speed,64,Speed,True
233,80,5,0.393889211,36.18915808,84.44,2.857142857,5,1.172771429,1.6659,2.542566667,4.598,6,-0.7127978800782793,Speed,90,Accuracy,True
792,80,5,0.18430421100000002,34.096203700000004,90.69,10.0,13,2.4958,2.9179,0.6922,0.6922,1,0.7510934705063055,Speed,89,Speed,True
409,80,5,0.38419394700000004,36.47870056,79.36,6.666666667,9,2.246,3.2904,2.02815,2.6799,2,0.020067958782897577,Speed,116,Speed,True
41,80,5,0.308553684,30.25523148,118.35,2.857142857,5,1.166966667,1.9215,-0.616316667,2.1983,5,1.0002432486265502,Speed,48,Speed,True
86,80,5,0.197858158,23.6612628,49.11,6.666666667,9,2.003833333,2.4325,0.9324,1.0355,2,-0.2112884455628521,Speed,113,Accuracy,True
781,80,5,0.18430421100000002,39.24553073,74.61,20.0,20,3.949,3.949,0.0,0.0,0,7.10464645098892,Speed,78,Speed,True
400,80,5,0.38419394700000004,75.37870482,174.01,6.666666667,9,2.0888,2.7605,1.9298,2.3448,2,2.1793152822085053,Speed,107,Speed,True
619,80,5,0.264108158,24.347703699999997,59.33,10.0,13,2.95405,3.6726,0.6940000000000001,0.6940000000000001,1,2.727584214361249,Speed,66,Speed,True
226,80,5,0.393889211,29.25311958,101.73,3.333333333,5,1.6508666669999998,2.3265,2.0760400000000003,3.3661,5,1.0122049490207456,Speed,83,Speed,True
794,80,5,0.18430421100000002,36.52376518,81.22,10.0,13,2.6299,2.9172,0.8313,0.8313,1,1.4552131736651273,Speed,91,Speed,True
92,80,5,0.197858158,42.77890977,109.97,6.666666667,8,1.808033333,2.2069,1.0338,1.3081,2,0.8280401651795892,Speed,119,Speed,True
82,80,5,0.197858158,38.76024476,84.65,5.0,11,1.409775,2.8439,0.8069666670000001,1.1046,3,0.7589036833433389,Speed,109,Speed,True
602,80,5,0.264108158,25.87172662,65.15,10.0,13,2.9261,3.3930000000000002,1.5148,1.5148,1,1.5859865354245049,Speed,49,Speed,True
