;Radius;Noise;IKINumber;MeanDeviation;MaxDeviation;MeanNrDigits;MaxNrDigits;MeanTimeTypingWindow;MaxTimeTypingWindow;MeanTrackingTime;MaxTrackingTime;TrackingWindowVisitCounter;TrialNumber;distance;prediction;label;is_test;SubjectNr;TrialNumber;Block;Score
0;80;3;0.308553684;3.183.689.904;76.66;5.0;6;207.905;28.536;1.331.466.667;1.652;3;107;-0.7685407049451575;Accuracy;Speed;TRUE;101;107;1;0.028
1;80;3;0.308553684;1.651.833.333;44.27;6.666.666.667;9;2.111.166.667;23.783;10.012;10.343;2;108;-1.098.200.487.553.010;Accuracy;Speed;FALSE;101;108;1;0.07
2;80;3;0.308553684;2.666.119.355;69.16;6.666.666.667;8;2.060.633.333;24.747;13.429;13.780.000.000.000.000;2;109;-11.974.043.338.154.100;Accuracy;Speed;TRUE;101;109;1;0.062
3;80;3;0.308553684;3.679.918.831;71.33;10.0;11;328.685;33.149;15.826;15.826;1;110;-0.0007812628878246519;Accuracy;Speed;FALSE;101;110;1;0.073
4;80;3;0.308553684;1.509.685.096;37.37;5.0;7;2.154.425;36.314;0.989533333;11.029;3;111;-0.24526117431422756;Accuracy;Speed;FALSE;101;111;1;0.013
5;80;3;0.308553684;2.775.648.101;66.45;5.0;9;19.347;33.108;13.771;15.838;3;112;-0.40750960057858643;Accuracy;Speed;FALSE;101;112;2;0.031
6;80;3;0.308553684;2.795.307.888;69.58;5.0;10;1.928.625;40.674;1.331.166.667;14.453;3;113;0.3117086666185417;Speed;Speed;FALSE;101;113;2;0.022
7;80;3;0.308553684;1.423.290.909;45.58;5.0;7;162.835;24.539;10.111.666.670.000.000;11.714;3;114;-0.74653385746404;Accuracy;Speed;FALSE;101;114;2;0.053
8;80;3;0.308553684;2.903.123.188;70.15;10.0;11;293.675;29.834;13.081;13.081;1;115;-0.02379704374395908;Accuracy;Speed;FALSE;101;115;2;0.091
9;80;3;0.308553684;30.585;63.01;6.666.666.667;9;21.936;2.6;117.225;12.398;2;116;-0.8644802060424878;Accuracy;Speed;FALSE;101;116;2;0.061
10;80;3;0.308553684;2.085.303.754;42.05;6.666.666.667;7;2.028.233.333;22.794;0.89785;10.348;2;117;-11.408.373.389.467.800;Accuracy;Speed;FALSE;101;117;3;0.077
11;80;3;0.308553684;30.962.703.700.000.000;76.32;10.0;11;286.325;31.367;13.092;13.092;1;118;-0.035774596449255625;Accuracy;Speed;FALSE;101;118;3;0.094
12;80;3;0.308553684;3.143.309.804;73.51;10.0;12;276.335;33.752;0.8299;0.8299;1;119;0.6537728296435384;Speed;Speed;FALSE;101;119;3;0.11
13;80;3;0.308553684;2.030.364.548;53.54;10.0;12;326.135;38.375;11.022;11.022;1;120;0.22855301164717423;Speed;Speed;FALSE;101;120;3;0.082
14;80;3;0.308553684;2.037.582.192;51.72;6.666.666.667;7;19.858.333.330.000.000;21.847;0.99975;10.345;2;121;-1.143.465.349.707.250;Accuracy;Speed;FALSE;101;121;3;0.076
15;80;3;0.308553684;3.495.007.042;78.24;6.666.666.667;8;1.869.933.333;21.084;124.065;14.466;2;122;-11.763.108.184.962.700;Accuracy;Speed;FALSE;101;122;4;0.074
16;80;3;0.308553684;1.465.613.559;40.7;6.666.666.667;8;20.366;28.141;0.89725;0.9648;2;123;-0.885937755942224;Accuracy;Speed;FALSE;101;123;4;0.067
17;80;3;0.308553684;2.792.028.169;53.51;10.0;12;305.195;34.428;11.716;11.716;1;124;-0.06886646962623766;Accuracy;Speed;FALSE;101;124;4;0.079
18;80;3;0.308553684;2.327.090.411;62.78;6.666.666.667;9;25.211.666.669.999.900;32.663;12.753;13.090.000.000.000.000;2;125;-0.37345346741895946;Accuracy;Speed;FALSE;101;125;4;0.026
19;80;3;0.308553684;2.638.741.742;66.79;10.0;12;3.589;37.119.999.999.999.900;15.824;15.824;1;126;0.7732885788910574;Speed;Speed;FALSE;101;126;4;0.063
20;120;5;0.308553684;3.535.212.245;82.4;4.0;7;175.954;2.78;2.028.425;26.315;4;17;-0.48342845798709655;Accuracy;Speed;TRUE;101;17;1;0.01
21;120;5;0.308553684;4.863.179.104;123.94;5.0;7;209.435;27.786;1.244.766.667;20.452;3;18;-0.09558947892029346;Accuracy;Speed;FALSE;101;18;1;0.008
